Naam;adres;Postcode;Telefoon;E-mail;email2;adres2;adres3
Alblasserdam;Cortgene 2;2951 ED;14 078;bestuurssecretariaat@alblasserdam.nl;bestuurssecretariaat@;Cortgene 2 2951 ED;Cortgene 2, 2951 ED
Albrandswaard;Stationsstraat 4;3161 KP;(010) 506 11 11;info@albrandswaard.nl;info@;Stationsstraat 4 3161 KP;Stationsstraat 4, 3161 KP
Alphen aan den Rijn;Stadhuisplein 1;2405 SH;14 0172;gemeente@alphenaandenrijn.nl;gemeente@;Stadhuisplein 1 2405 SH;Stadhuisplein 1, 2405 SH
Barendrecht;Binnenhof 1;2991 AA;14 0180;info@barendrecht.nl;info@;Binnenhof 1 2991 AA;Binnenhof 1, 2991 AA
Bodegraven-Reeuwijk;Raadhuisplein 1;2411 BD;(0172) 52 25 22;info@bodegraven-reeuwijk.nl;info@;Raadhuisplein 1 2411 BD;Raadhuisplein 1, 2411 BD
Brielle;Slagveld 36;3231 AP;(0181) 47 11 11;info@brielle.nl;info@;Slagveld 36 3231 AP;Slagveld 36, 3231 AP
Capelle aan den IJssel;Rivierweg 111;2903 AR;14 010;gemeente@capelleaandenijssel.nl;gemeente@;Rivierweg 111 2903 AR;Rivierweg 111, 2903 AR
Delft;Stationsplein 1;2611 BV;14 015;;;Stationsplein 1 2611 BV;Stationsplein 1, 2611 BV
Den Haag;Spui 70;2511 BT;14 070;ibdienstpost@denhaag.nl;ibdienstpost@;Spui 70 2511 BT;Spui 70, 2511 BT
Dordrecht;Spuiboulevard 300;3311 GR;14 078;;;Spuiboulevard 300 3311 GR;Spuiboulevard 300, 3311 GR
Goeree-Overflakkee;Koningin Julianaweg 45;3241 XB;14 0187;info@goeree-overflakkee.nl;info@;Koningin Julianaweg 45 3241 XB;Koningin Julianaweg 45, 3241 XB
Gorinchem;Stadhuisplein 1;4205 AZ;(0183) 65 95 95;Gemeente@Gorinchem.nl;Gemeente@;Stadhuisplein 1 4205 AZ;Stadhuisplein 1, 4205 AZ
Gouda;Burgemeester Jamesplein 1;2803 PG;14 0182;gemeente@gouda.nl;gemeente@;Burgemeester Jamesplein 1 2803 PG;Burgemeester Jamesplein 1, 2803 PG
Hardinxveld-Giessendam;Raadhuisplein 1;3371 AS;14 0184;info@gemhg.nl;info@;Raadhuisplein 1 3371 AS;Raadhuisplein 1, 3371 AS
Hellevoetsluis;Oostzanddijk 26;3221 AL;14 0181;gemeente@hellevoetsluis.nl;gemeente@;Oostzanddijk 26 3221 AL;Oostzanddijk 26, 3221 AL
Hendrik-Ido-Ambacht;Weteringsingel 1;3342 AE;14 078;gemeente@h-i-ambacht.nl;gemeente@;Weteringsingel 1 3342 AE;Weteringsingel 1, 3342 AE
Hillegom;Hoofdstraat 115;2181 EC;14 0252;info@hillegom.nl;info@;Hoofdstraat 115 2181 EC;Hoofdstraat 115, 2181 EC
Hoeksche Waard; ;;(088) 647 19 00;info@gemeentehw.nl;info@;  ;
Kaag en Braassem;Westeinde 1;2371 AS;(071) 332 72 72;info@kaagenbraassem.nl;info@;Westeinde 1 2371 AS;Westeinde 1, 2371 AS
Katwijk;Koningin Julianalaan 3;2224 EW;(071) 406 50 00;info@katwijk.nl;info@;Koningin Julianalaan 3 2224 EW;Koningin Julianalaan 3, 2224 EW
Krimpen aan den IJssel;Raadhuisplein 2;2922 AD;14 0180;gemeente@krimpenaandenijssel.nl;gemeente@;Raadhuisplein 2 2922 AD;Raadhuisplein 2, 2922 AD
Krimpenerwaard;Dorpsplein 8;2821 AS;14 0182;info@krimpenerwaard.nl;info@;Dorpsplein 8 2821 AS;Dorpsplein 8, 2821 AS
Lansingerland;Tobias Asserlaan 1;2662 SB;14 010;info@lansingerland.nl;info@;Tobias Asserlaan 1 2662 SB;Tobias Asserlaan 1, 2662 SB
Leiden;Bargelaan 190;2333 CW;14 071;;;Bargelaan 190 2333 CW;Bargelaan 190, 2333 CW
Leiderdorp;Willem-Alexanderlaan 1;2351 DZ;(071) 545 85 00;info@leiderdorp.nl;info@;Willem-Alexanderlaan 1 2351 DZ;Willem-Alexanderlaan 1, 2351 DZ
Leidschendam-Voorburg;Raadhuisplein 1;2264 BP;14 070;info@leidschendam-voorburg.nl;info@;Raadhuisplein 1 2264 BP;Raadhuisplein 1, 2264 BP
Lisse;Heereweg 254;2161 BS;14 0252;gemeente@lisse.nl;gemeente@;Heereweg 254 2161 BS;Heereweg 254, 2161 BS
Maassluis;Koningshoek 93050;3144 BA;14 010;gemeente@maassluis.nl;gemeente@;Koningshoek 93050 3144 BA;Koningshoek 93050, 3144 BA
Midden-Delfland;Anna van Raesfeltstraat 37;2636 HX;(015) 380 41 11;gemeente@middendelfland.nl;gemeente@;Anna van Raesfeltstraat 37 2636 HX;Anna van Raesfeltstraat 37, 2636 HX
Molenlanden; ;;14 0184;info@molenlanden.nl;info@;  ;
Nieuwkoop;Teylersplein 1;2441 LE;14 0172;info@nieuwkoop.nl;info@;Teylersplein 1 2441 LE;Teylersplein 1, 2441 LE
Nissewaard;Raadhuislaan 106;3201 EL;14 0181;gemeente@nissewaard.nl;gemeente@;Raadhuislaan 106 3201 EL;Raadhuislaan 106, 3201 EL
Noordwijk;Voorstraat 42;2201 HW;(071) 366 00 00;gemeente@noordwijk.nl;gemeente@;Voorstraat 42 2201 HW;Voorstraat 42, 2201 HW
Oegstgeest;Rhijngeesterstraatweg 13;2342 AN;(071) 519 17 93;info@oegstgeest.nl;info@;Rhijngeesterstraatweg 13 2342 AN;Rhijngeesterstraatweg 13, 2342 AN
Papendrecht;Markt 22;3351 PB;14 078;info@papendrecht.nl;info@;Markt 22 3351 PB;Markt 22, 3351 PB
